,name of company,college name,region,year
0,zeus,Pillai College of Engineering,Navi Mumbai,2018
1,Aditya Birla,Pillai College of Engineering,Navi Mumbai,2018
2,capgemini,Pillai College of Engineering,Navi Mumbai,2018
3,CMClimited,Pillai College of Engineering,Navi Mumbai,2018
4,emco,Pillai College of Engineering,Navi Mumbai,2018
5,gg,Pillai College of Engineering,Navi Mumbai,2018
6,godrej,Pillai College of Engineering,Navi Mumbai,2018
7,infosys,Pillai College of Engineering,Navi Mumbai,2018
8,Hexaware,Pillai College of Engineering,Navi Mumbai,2018
9,KPIT,Pillai College of Engineering,Navi Mumbai,2018
10,LandT,Pillai College of Engineering,Navi Mumbai,2018
11,nielsen,Pillai College of Engineering,Navi Mumbai,2018
12,Oracle,Pillai College of Engineering,Navi Mumbai,2018
13,Orange,Pillai College of Engineering,Navi Mumbai,2018
14,persistent,Pillai College of Engineering,Navi Mumbai,2018
15,punjlloyd,Pillai College of Engineering,Navi Mumbai,2018
16,quinnox,Pillai College of Engineering,Navi Mumbai,2018
17,reliance,Pillai College of Engineering,Navi Mumbai,2018
18,Syntel,Pillai College of Engineering,Navi Mumbai,2018
19,testfunds,Pillai College of Engineering,Navi Mumbai,2018
20,Accenture,Pillai College of Engineering,Navi Mumbai,2018
21,capgemini,Pillai College of Engineering,Navi Mumbai,2018
22,essential,Pillai College of Engineering,Navi Mumbai,2018
23,greaves,Pillai College of Engineering,Navi Mumbai,2018
24,infrasofttech,Pillai College of Engineering,Navi Mumbai,2018
25,lalit,Pillai College of Engineering,Navi Mumbai,2018
26,mahindra,Pillai College of Engineering,Navi Mumbai,2018
27,mastek,Pillai College of Engineering,Navi Mumbai,2018
28,nseit,Pillai College of Engineering,Navi Mumbai,2018
29,patni,Pillai College of Engineering,Navi Mumbai,2018
30,qualitykiosk,Pillai College of Engineering,Navi Mumbai,2018
31,sterling,Pillai College of Engineering,Navi Mumbai,2018
32,tcs,Pillai College of Engineering,Navi Mumbai,2018
33,vistaar,Pillai College of Engineering,Navi Mumbai,2018
34,Aakash Institute,K. J. Somaiya College of Engineering,Mumbai,2018
35,Accenture Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
36,Accionlabs,K. J. Somaiya College of Engineering,Mumbai,2018
37,Accolite,K. J. Somaiya College of Engineering,Mumbai,2018
38,AGR Knowledge Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
39,Ahdityaa Enterprises,K. J. Somaiya College of Engineering,Mumbai,2018
40,Aker Solutions,K. J. Somaiya College of Engineering,Mumbai,2018
41,All Cargo Logistics,K. J. Somaiya College of Engineering,Mumbai,2018
42,Amdocs Development Centre India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
43,Ariston Capital Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
44,Armaco Chemical Process Systems Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018
45,Atidan Technologies Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
46,Atos India Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
47,Avalon Global Research,K. J. Somaiya College of Engineering,Mumbai,2018
48,Bank of America,K. J. Somaiya College of Engineering,Mumbai,2018
49,Barclays,K. J. Somaiya College of Engineering,Mumbai,2018
50,Bharti Airtel Limited,K. J. Somaiya College of Engineering,Mumbai,2018
51,Blue Star Limited,K. J. Somaiya College of Engineering,Mumbai,2018
52,Bookmyshow,K. J. Somaiya College of Engineering,Mumbai,2018
53,BOSCH Ltd,K. J. Somaiya College of Engineering,Mumbai,2018
54,Build Track,K. J. Somaiya College of Engineering,Mumbai,2018
55,Capegemini India,K. J. Somaiya College of Engineering,Mumbai,2018
56,Cartesian Consulting,K. J. Somaiya College of Engineering,Mumbai,2018
57,Cex Webuy Entertainment Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
58,Cimpress India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
59,Coffee Day Beverages,K. J. Somaiya College of Engineering,Mumbai,2018
60,Colgate,K. J. Somaiya College of Engineering,Mumbai,2018
61,Computer Sciences Corporation Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
62,Cybermarine Knowledge Systems Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
63,Daikin Air Conditioning,K. J. Somaiya College of Engineering,Mumbai,2018
64,Diebold Systems Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
65,Directi,K. J. Somaiya College of Engineering,Mumbai,2018
66,Dolat Capital,K. J. Somaiya College of Engineering,Mumbai,2018
67,Dolphin RFID Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
68,Dumbelled,K. J. Somaiya College of Engineering,Mumbai,2018
69,Dynalog Enterprises,K. J. Somaiya College of Engineering,Mumbai,2018
70,Eduisfun,K. J. Somaiya College of Engineering,Mumbai,2018
71,Eleation,K. J. Somaiya College of Engineering,Mumbai,2018
72,Emerson Network Power,K. J. Somaiya College of Engineering,Mumbai,2018
73,Endurance International Group,K. J. Somaiya College of Engineering,Mumbai,2018
74,Ernst & Young,K. J. Somaiya College of Engineering,Mumbai,2018
75,Express Global Logistics Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
76,Express Roadways Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
77,First Quadrant Solutions,K. J. Somaiya College of Engineering,Mumbai,2018
78,Force Motors,K. J. Somaiya College of Engineering,Mumbai,2018
79,Fractal Analytics,K. J. Somaiya College of Engineering,Mumbai,2018
80,Friction Innovative Education,K. J. Somaiya College of Engineering,Mumbai,2018
81,Future Generali India Life Insurance Company Limited,K. J. Somaiya College of Engineering,Mumbai,2018
82,GEP,K. J. Somaiya College of Engineering,Mumbai,2018
83,Germin8,K. J. Somaiya College of Engineering,Mumbai,2018
84,Godrej & Boyce Mfg.Co.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
85,Greenity Software Solutions Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018
86,Grindwell Norton Limited,K. J. Somaiya College of Engineering,Mumbai,2018
87,Gupshup Technology India Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018
88,GVK Mumbai International Airport Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018
89,GVR India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
90,Halftick Infoservices Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018
91,Hansa Cequity,K. J. Somaiya College of Engineering,Mumbai,2018
92,Hourglass Research,K. J. Somaiya College of Engineering,Mumbai,2018
93,ICICI Pru Life,K. J. Somaiya College of Engineering,Mumbai,2018
94,Icreate,K. J. Somaiya College of Engineering,Mumbai,2018
95,IFB Industries Limited,K. J. Somaiya College of Engineering,Mumbai,2018
96,Imaginarium India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
97,Indus Momentus,K. J. Somaiya College of Engineering,Mumbai,2018
98,Indus Valley Partners,K. J. Somaiya College of Engineering,Mumbai,2018
99,Indusgeeks,K. J. Somaiya College of Engineering,Mumbai,2018
100,Infosys Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
101,Inscripts India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
102,Interactive Brokers India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
103,Jacobs Engineering India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018
104,Jaro Education,K. J. Somaiya College of Engineering,Mumbai,2018
105,JP Morgan Chase,K. J. Somaiya College of Engineering,Mumbai,2018
